Month,Region,Type,Total Attendances,Admitted Attendances,Delays >12hrs (count),12hr %
2024-09,South West,T1,247715.0,51350.0,18305.0,1.669488437553878
2024-10,East of England,T1,329720.0,85360.0,33645.0,1.9762505385646008
2024-10,London,T1,484605.0,114840.0,54810.0,2.590610644189481
2024-10,Midlands,T1,543255.0,164135.0,71900.0,3.9056562572246216
2024-10,North East and Yorkshire,T1,489015.0,140145.0,41715.0,2.200724225268473
2024-10,North West,T1,428710.0,100105.0,63415.0,3.3667966196675647
2024-10,South East,T1,435640.0,99320.0,43235.0,2.298241409462558
2024-10,South West,T1,235140.0,53180.0,21730.0,1.9975667159060981
2024-11,East of England,T1,325135.0,81035.0,32780.0,1.990608404936678
2024-11,London,T1,481460.0,111550.0,52975.0,2.5007628962867923
2024-11,Midlands,T1,543865.0,164575.0,70685.0,3.8060493677257354
2024-11,North East and Yorkshire,T1,482715.0,139450.0,38180.0,2.0257073177681724
2024-11,North West,T1,403400.0,92515.0,57200.0,3.0216878129393465
2024-11,South East,T1,433980.0,99545.0,40845.0,2.1381402807189045
2024-11,South West,T1,251745.0,51725.0,22400.0,2.0080016276844144
2024-12,East of England,T1,329995.0,81475.0,38785.0,2.28664828861003
2024-12,London,T1,478255.0,112120.0,58010.0,2.608763991235074
2024-12,Midlands,T1,528045.0,161530.0,74625.0,4.151260150945214
2024-12,North East and Yorkshire,T1,485740.0,133370.0,49595.0,2.6599253032485204
2024-12,North West,T1,402000.0,90730.0,61485.0,3.4234745791390635
2024-12,South East,T1,443715.0,106820.0,45600.0,2.3567435638462926
2024-12,South West,T1,257085.0,53190.0,25475.0,2.110110907977491
2025-01,East of England,T1,286160.0,73470.0,36015.0,2.4253124149800347
2025-01,London,T1,469170.0,100755.0,57650.0,2.6675385366293907
2025-01,Midlands,T1,496660.0,156825.0,71745.0,4.301103183320437
2025-01,North East and Yorkshire,T1,447560.0,125380.0,45450.0,2.602802447933187
2025-01,North West,T1,398675.0,89175.0,64200.0,3.67529442083433
2025-01,South East,T1,416040.0,102395.0,46715.0,2.5843833903260047
2025-01,South West,T1,236460.0,51345.0,27005.0,2.4621805195797197
2025-02,East of England,T1,287690.0,71990.0,31510.0,2.14453749120014
2025-02,London,T1,431745.0,94230.0,49815.0,2.5206221938068434
2025-02,Midlands,T1,467775.0,137805.0,62115.0,3.899605517222184
2025-02,North East and Yorkshire,T1,433240.0,117040.0,30930.0,1.8615340697830496
2025-02,North West,T1,369165.0,80615.0,52475.0,3.248521054944943
2025-02,South East,T1,389210.0,93755.0,40675.0,2.399316364738227
2025-02,South West,T1,224760.0,46615.0,22490.0,2.1379325475049873
2025-03,East of England,T1,334110.0,80955.0,30545.0,1.7383970249332372
2025-03,London,T1,478290.0,115690.0,50330.0,2.2539870120360694
2025-03,Midlands,T1,539555.0,143540.0,60155.0,3.2264422378208
2025-03,North East and Yorkshire,T1,482050.0,136020.0,27755.0,1.4841826681677128
2025-03,North West,T1,423980.0,92740.0,54330.0,2.9816906856221754
2025-03,South East,T1,443860.0,104275.0,40805.0,2.13845315440465
2025-03,South West,T1,261900.0,52480.0,23305.0,1.948854580118955
2025-04,East of England,T1,314755.0,68675.0,27580.0,1.6394891650477224
2025-04,London,T1,459215.0,103640.0,49245.0,2.3307086366793617
2025-04,Midlands,T1,468995.0,116970.0,54115.0,3.2163249747614104
2025-04,North East and Yorkshire,T1,442080.0,130735.0,28375.0,1.5587860930583095
2025-04,North West,T1,407365.0,86470.0,54590.0,3.1194859852439327
2025-04,South East,T1,421555.0,98185.0,38510.0,2.11282443611731
2025-04,South West,T1,255180.0,52180.0,22020.0,1.8780814239216856
2025-05,East of England,T1,342450.0,80010.0,31600.0,1.5691995573998951
2025-05,London,T1,462875.0,98265.0,39710.0,1.8361227482962277
2025-05,Midlands,T1,539920.0,128035.0,58865.0,3.3320161930962064
2025-05,North East and Yorkshire,T1,546415.0,140010.0,25895.0,1.3399204588428049
2025-05,North West,T1,418955.0,93295.0,53665.0,2.9831486030823466
2025-05,South East,T1,469780.0,125045.0,38300.0,1.9654514615602614
2025-05,South West,T1,260285.0,59000.0,19655.0,1.7275874359744368
