Month,Region,Total_Attendances,Type1_Attendances,Type2_Attendances,Other_Attendances,Over_4hr_Waits,Over_12hr_Waits,Emergency_Admissions
2019-04,NHS ENGLAND EAST OF ENGLAND (EAST),190972,144887,0,46085,30153,13,44012
2019-04,NHS ENGLAND LONDON,427759,232695,17111,177953,55774,61,65819
2019-04,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),81454,48565,2881,30008,14447,0,13716
2019-04,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),118762,74620,2221,41921,22917,26,24221
2019-04,NHS ENGLAND MIDLANDS (WEST MIDLANDS),193728,121998,3310,68420,34435,99,36944
2019-04,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),128756,73834,3973,50949,10745,0,24411
2019-04,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),194199,146270,1793,46136,27816,24,38902
2019-04,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),111980,69870,1540,40570,19021,20,23674
2019-04,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),133117,87539,3648,41930,20966,43,25906
2019-04,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),61876,29365,367,32144,11067,94,10999
2019-04,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",126604,80416,7068,39120,19234,8,27165
2019-04,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",155308,106322,1206,47780,20340,14,31804
2019-04,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),80907,52276,2493,26138,12705,26,17361
2019-04,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),106743,62168,1670,42905,14561,14,20505
2019-05,NHS ENGLAND EAST OF ENGLAND (EAST),198161,149136,0,49025,23394,3,44947
2019-05,NHS ENGLAND LONDON,439380,237699,17721,183960,48672,96,66743
2019-05,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),85199,50671,2897,31631,12825,0,14203
2019-05,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),120516,76154,2261,42101,15590,7,23887
2019-05,NHS ENGLAND MIDLANDS (WEST MIDLANDS),187607,122213,3348,62046,30642,68,37540
2019-05,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),132719,76689,4101,51929,11231,0,25042
2019-05,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),203256,148977,1847,52432,20591,26,39391
2019-05,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),116526,72453,1565,42508,18012,14,24710
2019-05,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),135484,90898,3853,40733,20771,20,26386
2019-05,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),62675,29666,335,32674,10290,98,11518
2019-05,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",133345,84418,7405,41522,10802,8,27795
2019-05,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",160029,110619,1290,48120,18619,51,32556
2019-05,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),84817,54560,2350,27907,11304,6,17710
2019-05,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),112292,65179,1669,45444,8722,19,20413
2019-06,NHS ENGLAND EAST OF ENGLAND (EAST),193984,147820,0,46164,21775,18,43860
2019-06,NHS ENGLAND LONDON,426528,232468,17178,176882,49794,138,65111
2019-06,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),81502,48475,2854,30173,11383,0,13502
2019-06,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),117478,74607,2193,40678,15677,7,23314
2019-06,NHS ENGLAND MIDLANDS (WEST MIDLANDS),183738,120853,3244,59641,32146,142,36308
2019-06,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),128084,73892,4019,50173,10076,0,23683
2019-06,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),197791,145033,2039,50719,20905,2,38052
2019-06,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),111466,69847,1578,40041,17186,8,23679
2019-06,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),129607,87521,3534,38552,19877,23,24799
2019-06,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),61350,28736,312,32302,9333,50,11108
2019-06,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",130760,83421,7192,40147,11405,6,26631
2019-06,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",157176,107262,1177,48737,17921,20,32007
2019-06,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),81421,52260,2362,26799,10897,16,16749
2019-06,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),107102,61942,1551,43609,10207,32,19867
2019-07,NHS ENGLAND EAST OF ENGLAND (EAST),208137,157046,0,51091,25475,8,46376
2019-07,NHS ENGLAND LONDON,447092,240851,18286,187955,51967,203,66721
2019-07,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),89470,51261,3108,35101,13925,0,14138
2019-07,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),129367,79616,2287,47464,18269,5,24022
2019-07,NHS ENGLAND MIDLANDS (WEST MIDLANDS),196218,127924,3388,64906,30955,69,38272
2019-07,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),138569,78677,4262,55630,11556,0,24809
2019-07,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),214470,156098,2101,56271,23442,1,39947
2019-07,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),120130,73996,1615,44519,17800,5,25721
2019-07,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),140066,93514,3749,42803,18750,15,26640
2019-07,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),65929,30274,249,35406,9612,73,11536
2019-07,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",136220,87963,7865,40392,10949,15,26841
2019-07,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",171776,115973,1368,54435,20319,8,32837
2019-07,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),88460,56185,2475,29800,12087,18,17399
2019-07,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),119146,66540,1665,50941,10409,32,20434
2019-08,NHS ENGLAND EAST OF ENGLAND (EAST),194960,147314,0,47646,24310,8,44891
2019-08,NHS ENGLAND LONDON,410671,222675,16573,171423,46571,154,62597
2019-08,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),87316,48969,2827,35520,14282,0,13910
2019-08,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),122673,74716,2239,45718,17021,4,23304
2019-08,NHS ENGLAND MIDLANDS (WEST MIDLANDS),183805,118777,3199,61829,30235,57,36216
2019-08,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),128460,73376,4005,51079,11424,0,23818
2019-08,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),201534,145646,2062,53826,22246,7,38581
2019-08,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),114494,69675,1404,43415,15024,2,24721
2019-08,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),128444,85489,3652,39303,18438,25,25080
2019-08,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),62500,28549,261,33690,9173,54,11090
2019-08,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",129958,81623,7290,41045,11995,31,26273
2019-08,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",162894,109255,1249,52390,21385,7,31889
2019-08,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),82718,53259,2474,26985,9800,11,17149
2019-08,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),115008,64747,1551,48710,10826,11,20434
2019-09,NHS ENGLAND EAST OF ENGLAND (EAST),195120,148971,0,46149,25841,8,44513
2019-09,NHS ENGLAND LONDON,421955,228952,16894,176109,50421,175,63431
2019-09,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),85069,49677,2789,32603,12964,0,13672
2019-09,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),119969,75737,2307,41925,17732,5,22934
2019-09,NHS ENGLAND MIDLANDS (WEST MIDLANDS),185018,121565,3244,60209,34849,57,35646
2019-09,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),128717,75218,3876,49623,13339,0,24187
2019-09,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),200277,145365,2093,52819,23023,34,37811
2019-09,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),115372,71698,1313,42361,16905,5,24637
2019-09,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),132124,89363,3592,39169,20722,20,25955
2019-09,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),61545,28656,284,32605,9603,43,10915
2019-09,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",129993,83361,6796,39836,12416,18,26019
2019-09,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",159650,107855,1207,50588,21469,13,31422
2019-09,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),82976,54304,2416,26256,12254,41,17119
2019-09,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),105560,61788,1406,42366,10659,39,21463
2019-10,NHS ENGLAND EAST OF ENGLAND (EAST),197238,148856,0,48382,28788,10,46949
2019-10,NHS ENGLAND LONDON,436708,238643,17623,180442,58358,187,65408
2019-10,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),85716,49996,2741,32979,16269,1,14457
2019-10,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),122643,77650,2318,42675,19279,52,23648
2019-10,NHS ENGLAND MIDLANDS (WEST MIDLANDS),191592,125780,3015,62797,38029,48,38185
2019-10,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),129923,77115,3878,48930,16058,4,25435
2019-10,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),206310,150011,2175,54124,26549,16,40323
2019-10,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),119743,73373,1674,44696,19748,28,25472
2019-10,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),138093,93432,3862,40799,25351,79,28038
2019-10,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),62241,29451,303,32487,10635,84,11523
2019-10,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",134008,86217,7321,40470,14052,42,27864
2019-10,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",160507,110618,1287,48602,23297,16,33300
2019-10,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),82937,53677,2573,26687,12663,52,18165
2019-10,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),103226,61528,1621,40077,10949,106,22339
2019-11,NHS ENGLAND EAST OF ENGLAND (EAST),195595,147129,0,48466,31686,19,46541
2019-11,NHS ENGLAND LONDON,437124,241697,16228,179199,65357,197,65006
2019-11,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),85238,49619,2524,33095,17142,13,14066
2019-11,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),120393,76700,2096,41597,21118,100,24056
2019-11,NHS ENGLAND MIDLANDS (WEST MIDLANDS),187057,122907,3086,61064,40237,180,36513
2019-11,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),129688,76684,3601,49403,19432,4,25994
2019-11,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),203423,147889,2112,53422,30910,18,39757
2019-11,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),115951,72834,1540,41577,22527,49,24982
2019-11,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),139384,94609,3512,41263,30998,146,27544
2019-11,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),62357,29395,298,32664,11207,79,11489
2019-11,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",131079,84186,7090,39803,15512,13,28089
2019-11,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",157849,110894,1206,45749,26118,36,32742
2019-11,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),80476,53055,2335,25086,14419,186,17831
2019-11,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),97891,58785,1551,37555,11465,71,21849
2019-12,NHS ENGLAND EAST OF ENGLAND (EAST),202149,149982,0,52167,36650,29,47936
2019-12,NHS ENGLAND LONDON,448700,245679,14720,188301,72955,215,64216
2019-12,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),89759,50389,2505,36865,19012,24,14310
2019-12,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),122573,76823,1971,43779,23856,764,24842
2019-12,NHS ENGLAND MIDLANDS (WEST MIDLANDS),198373,126973,2793,68607,45334,259,38098
2019-12,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),129349,75659,3309,50381,19916,32,26197
2019-12,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),205990,148582,2054,55354,35743,24,40909
2019-12,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),119134,71061,1403,46670,24408,127,24515
2019-12,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),129470,89870,3324,36276,32146,280,25688
2019-12,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),61950,28952,338,32660,13249,184,11466
2019-12,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",132370,84617,6374,41379,15779,76,30303
2019-12,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",159012,110490,1101,47421,28384,45,34062
2019-12,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),81552,53552,2194,25806,16724,208,18428
2019-12,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),100156,61025,1372,37759,12042,89,23664
2020-01,NHS ENGLAND EAST OF ENGLAND (EAST),195023,144138,788,50097,32571,57,46814
2020-01,NHS ENGLAND LONDON,438439,240831,16760,180848,66121,402,64755
2020-01,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),87277,47984,2782,36511,16598,18,14267
2020-01,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),116727,72976,2219,41532,19618,785,23489
2020-01,NHS ENGLAND MIDLANDS (WEST MIDLANDS),189884,121402,3259,65223,39394,299,38076
2020-01,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),123925,72257,3832,47836,17616,26,25348
2020-01,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),198917,142938,2190,53789,29928,30,40492
2020-01,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),115717,69410,1587,44720,22327,58,24481
2020-01,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),126923,87775,3628,35520,27937,329,26264
2020-01,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),60525,30014,104,30407,11204,194,11364
2020-01,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",130207,81991,7255,40961,14349,23,27203
2020-01,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",154969,106374,1226,47369,25196,64,33703
2020-01,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),79047,51275,2486,25286,14398,413,17711
2020-01,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),97129,57869,1481,37779,11519,149,22574
2020-02,NHS ENGLAND EAST OF ENGLAND (EAST),182628,135738,0,46890,26902,44,42030
2020-02,NHS ENGLAND LONDON,401751,220258,15139,166354,56148,302,59116
2020-02,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),81979,44973,2570,34436,14726,10,13177
2020-02,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),108347,67847,2105,38395,17772,270,22143
2020-02,NHS ENGLAND MIDLANDS (WEST MIDLANDS),178085,113654,2945,61486,35713,99,34582
